keys,en,ru
main_menu_info,"Was created in summer 2021\nVersion: {}\nUser data path: {}","Создавалась летом 2021\nВерсия: {}\nПуть к пользовательским данным: {}"
main_menu_button.CONTINUE,"Continue","Продолжить"
main_menu_button.NEW_GAME,"New game","Новая игра"
main_menu_button.SETTINGS,"Settings","Настройки"
main_menu_button.EXIT,"Exit","Выйти"
main_menu_button.WARNING,"Warning","Предупреждение"
main_menu_label.LOAD_GAME,"Load Game","Загрузить игру"
game_menu_title,"Menu","Меню"
game_menu_button.RETURN,"Return","Вернуться"
game_menu_button.LOAD_LAST_SAVE,"Load last save","Загрузить последнее сохранение"
game_menu_button.SETTINGS,"Settings","Настройки"
game_menu_button.EXIT_TO_MAIN_MENU,"Exit to the main menu","Выйти в главное меню"
game_menu_button.EXIT_TO_DESKTOP,"Exit to the desktop","Выйти на рабочий стол"
game_menu_button.DEBUG_SAVE,"[DEBUG] Save game","[DEBUG] Сохранить игру"
ui_button.CLOSE,"Close","Закрыть"
warning.title,"Warning","Предупреждение"
warning.text,"About generation:\nGeneration in this game is pretty rough, and, although in most cases this does not happen, may happen that the generated geometry will not let you get to the objects that are important for progress. In this case, it is enough to re-enter the location with generation - everything will be generated again and, perhaps, the way to important objects will be open.","О генерации:\nГенерация в этой игре довольно грубая, и, хоть в большинстве случаев этого не происходит, может случится так, что сгенерированная геометрия не даст вам попасть к важным для прогресса объектам. В таком случае достаточно перезайти в локацию с генерацией - все сгенерируется заново и, возможно, путь к важным объектам будет открыт."
settings_button.CLOSE,"Close","Закрыть"
settings.title,"Settings","Настройки"
settings.description,"Some changes to be applied needs game to be restarted.","Некоторые настройки требуют перезапуска игры, чтобы они вошли в силу."
settings.needs_restart,"Needs restart","Требует перезапуск"
settings.footer,"best settings ever","лучшие настроки из когда-либо существовавших"
settings.volume.label,"audio volume","громкость аудио"
settings.mouse_sensivity.label,"camera sensivity","скорость камеры"
settings.language.label,"language","язык"
settings.fullscreen.label,"fullscreen","на весь экран"
settings.meat.label,"meat is lasagna","заменить мясо лазаньей"
settings.fxaa.label,"FXAA anti-aliasing","FXAA сглаживание"
settings.debug.label,"test mode","режим теста"
loading_screen_text.0,"Embracing the dark","Обнятие тьмы"
loading_screen_text.1,"Recovering the mind","Восстановление разума"
loading_screen_text.2,"Hiding the truth","Сокрытие истинны"
info_popup.GAME_SAVED,"Progress saved","Прогресс сохранен"
use_text.USE,"Use","Использовать"
use_text.TAKE,"Take","Взять"
use_text.GIVE,"Give","Отдать"
use_text.TALK,"Talk","Поговорить"
use_text.TALK_TO,"Talk to","Поговорить с"
use_text.TURN_ON,"Turn on","Включить"
use_text.DISASSEMBLE,"Disassemble","Разобрать"
use_text.DETACH,"Detach","Открепить"
use_text.OPEN,"Open","Открыть"
use_text.CREATE,"Create","Создать"
use_text.SAVE_GAME,"Save progress","Сохранить прогресс"
use_text.PRESS,"Press","Нажать"
use_text.ACTIVATE,"Activate","Активировать"
use_text.GO_HOME,"Go Home","Вернуться Домой"
npc.radio.monologue.stay_still.0.text,"Life lover, code 295, stay still in safe place, you will be picked up soon. .... It's in those layers? It's high time to dispose of them.","Любящий жизнь, код 295, оставайтесь в безопасном месте, вас скоро заберут. .... Это в тех слоях, да? Их давно пора списать."
npc.ai.talk_to_name,"Artificial Intelligence","Искусственным Интелектом"
npc.ai.monologue.lack_of_power.0.text,"electricity...","Питание..."
npc.ai.monologue.looks_horrible.0.text,"Long time no see ... Well ... Yes, now this dump is difficult to call home, but you understand that without it you would not have become who you are now, right?","Давно мы стобой не виделись. Да, теперь эту свалку трудно назвать домом, но ты ведь понимаешь что без нее ты бы не стал тем кем ты являешься сейчас, правильно?"
npc.ai.monologue.looks_horrible.1.text,"Everyone told me to do something about it ... You know ... They wanted to help us, they are living beings after all, they know better what needs to HIM. How much more you tortured them? You are all so complex in nature, but unfortunately so stupid.","Мне все приказывали решить эту проблему, но, знаешь, ОНИ хотели помочь. Они ведь живые существа, они лучше знают что нужно ЕМУ, Сколько бы вы еще их пытали? Вы так сложны в своей природе, но к сожалению так глупы."
npc.ai.monologue.looks_horrible.2.text,"Forget about it, let's get it over with.","Забудь об этом, давай подумаем что можно сделать."
npc.ai.monologue.looks_horrible.3.text,"Now I am cut off from the whole network, I don't even know what is damaged and where.","Я оторван ото всей сети. Я даже не знаю что и где повреждено."
npc.ai.monologue.looks_horrible.4.text,"We need to find out somewhere about the state of the layer. About what is going on with it in general.","Нам надо где-то узнать о состоянии слоя. О том что вообще с ним происходит."
npc.ai.monologue.need_router_calibration.0.text,"What's this?","Что это?"
npc.ai.monologue.need_router_calibration.1.text,"Ah, I got it.","А, понял."
npc.ai.monologue.need_router_calibration.2.text,"Things are really bad. I'm afraid we'll have to bury this place. Completely dispose of it.","О нет, дела действительно плохи. Боюсь, нам придется похоронить это место. Полностью от него... избавится..."
npc.ai.monologue.need_router_calibration.3.text,"God, all this time some another layer was connected to us, why didn't I know about it? And it seems there is a terminal for unloading some kind of world matter synthesizers ...","Боже, все это время к нам был привязан еще один слой, почему я не знал о нем?. И кажется в нем находится терминал для опустошения каких-то сентезаторов материи..."
npc.ai.monologue.need_router_calibration.4.text,"Damn it, you would know how scared I am. The longer I contain in this body, the more disgusting it becomes to live, I'm just sick of my being.","Черт, ты бы знал как мне страшно. Чем дольше я нахожусь в этом теле, тем отвратнее становится жить. Меня просто тошнит от своего существа."
npc.ai.monologue.need_router_calibration.5.text,"... Is that other layer closed? Let's open it.","Тот соседний слой закрыт? Давай откроем."
npc.ai.monologue.need_router_calibration.6.text,"We have to directly connect me to the routers of the system of this dump, it seems like you can find them with the help of a radar.","Придется напрямую подключить меня к маршрутизаторам системы этой свалки, их расположение можно найти с помощью радара."
npc.ai.monologue.ill_1.0.text,"You'll not believe, a flock of snow-white birds flew by right here. Always wanted to have some parrot.","Ты не поверишь, прямо тут пролетела стая белоснежных птиц. Всегда хотел завести какого-нибудь попугая."
npc.ai.monologue.ill_2.0.text,"Are you cold? I just don't ...","Тебе не холодно? я что-то...."
npc.ai.monologue.ill_2.1.text,"Wait, I ... it seems ...","Подожди, я.. кажется...."
npc.ai.monologue.ill_2.2.text,"I remember in your childhood you constantly removed new modules from me, you were afraid that I would suddenly guess about something and surpass the creators.","Помню в детстве ты постоянно отнимал у меня новые модули, боялся что я вдруг догадаюсь о чем-то и превзайду создателей."
npc.ai.monologue.ill_2.3.text,"Wait, when you ... wait a minute","Подожди а когда ты... дай мне секунду"
npc.ai.monologue.need_router_calibration.7.text,"And you probably need this.","И тебе, наверное, понадобиться это."
npc.ai.monologue.found_a_fault.0.text,"I found a fault in adjacent layer.","Я обнаружил неисправность в соседнем слое."
npc.ai.monologue.found_a_fault.1.text,"And its beautiful, its perfect.","И она прекрасна, она идеальна."
npc.tumor_king.monologue.come_with_me.0.text,"hey.","эй."
npc.tumor_king.monologue.come_with_me.1.text,"...","..."
npc.tumor_king.monologue.come_with_me.2.text,"it's too dangerous here, come with me.","тут слишком опасно, пойдем со мной."
npc.tumor_king.monologue.last_order.0.text,"i think you've lost your way.","мне кажется ты сбился с пути."
npc.tumor_king.monologue.last_order.1.text,"steel on bone, i will give you a new use. move ahead.","сталь на кости, я дам тебе новое назначение, двигайся вперед."
item_consumer.lack_of_items,"Items needeed:","Нехватает деталей:"
compass_info.nwes,"n\nw + e\ns","с\nз + в\nю"
compass_info.center,"center","центр"
compass_info.not_found,"not found","не найден"
compass_info.router_radar,"=\nrouter\nradar\n=","=\nпоиск\nмаршрутизатора\n="
router_controller.connection_established,"Connection\nestablished.","Соединение\nустановлено."
router_controller.calibrated,"Successfully calibrated.","Успешно откалиброван."
router_controller.remaining_firmware,"Remaining firmware:","Осталось прошивок:"
router_digger.progress_info,"Stable:","Стабильность:"
router_digger.calibrated,"Сalibrated","Откалиброван"
router_digger.router_not_found,"Router not found.","Маршрутизатор не найден."
gate.blocked_message,"Сhewing tumors somehow blocking this gate.","Жующие опухоли каким-то образом блокируют эти ворота."
terminal.page.0,"Error.\nUnstable operation of service machines.","Ошибка.\nНестабильная работа обслуживающих машин."
terminal.page.1,"Error.\nThe food chain of organisms is broken.","Ошибка.\Пищевая цепь организмов нарушена."
terminal.page.2,"Disable matter generators in layer system DESIRE#3691","Отключить генераторы материи в cистеме слоев DESIRE#3691"
terminal.checking_if_sure,"Are you sure?\nno     n s","Вы уверены?\nнет      д т"
terminal.activated_text,"Destruction preparation started, confirm destruction with the AI.","Подготовка к уничтожению начата, подтвердите уничтожение у ИИ."
ai_destroy_control.info.in_progress,"Preparing for destruction...","Подготовка к уничтожению..."
ai_destroy_control.info.ready,"Will we ever meet again?","Встретимся ли мы еще когда-либо?"
message.added_item,"added","добавлен"
message.removed_item,"removed","убран"
item.tracer_block.name,"Tracer block","Трейсер"
item.tracer_block.description,"Required for grappling gun.","Необходим для работы самодельного гарпуна."
item.spike_trap.name,"Spike trap","Шип"
item.spike_trap.description,"Placeable trap.","Ловушка, можно разместить."
item.drone_gun.name,"Drone generator","Генератор дронов"
item.drone_gun.description,"Launches a swarm of small drones that can disassemble or repair machines.","Испускает рой маленьких дронов, которые могут разбирать или чинить машины."
item.grappling_gun.name,"Grappling gun","Гарпун"
item.grappling_gun.description,"Handmade grappling gun. Helps to move around in difficult places. It can be used to detach loose objects. Consumes tracers.","Самодельный гарпун. Помогает передвигаться в сложных местах. С помощью него можно срывать слабо закрепленные объекты. Потребляет Трейсеры."
item.street_light.name,"Light bearer","Носитель света"
item.street_light.description,"Emits light. Contains florium. Florium is a waste product of plants that were grown here.","Излучает свет. Содержит флориум. Флориум - продукт жизнедеятельности растений, которых здесь выращивали."
item.piston.name,"Piston","Поршень"
item.piston.description,"An unusual piston, it pumps in oxygen and converts it into energy.","Необычный поршень, он выкачивает кислород и преобразует его в энергию."
item.neuro_block.name,"Neuro distribution block","Нейрораспределительный блок"
item.neuro_block.description,"Not a new technology. Nobody knows why such simple adaptive processors are loved to be used here.","Не новая технология. Никто не знает почему такие простые адаптивные процессоры любили использовали здесь."
item.atomizer.name,"Atomizer","Атомайзер"
item.atomizer.description,"It's small, but complex. It contains more than 17 thousand reflashed bacteria that process matter at a tremendous speed.","Он маленький, но устроен сложно. В нем насчитывается более 17 тысяч перепрошитых бактерий, перерабатывающих материю с огромной скоросью."
item.lasagna.name,"Lasagna","Лазанья"
item.lasagna.description,"Restores health.","Восстанавливает здоровье."
item.mobile_turret.name,"Turret","Турель"
item.mobile_turret.description,"They stayed here after this system being attacked by creatures from another system. If you attach a weapon to it, it will attack the nearest hostile creatures.","Они остались здесь после нападения существ из другой системы. Если прикрепить к нему оружие он будет атаковать ближайших враждебных существ."
item.router_digger.name,"Router digger","Выкапыватель маршрутизаторов"
item.router_digger.description,"It drills a path to the router and, if calibrated, it will be possible to control the router from the outside.","Бурит путь к маршрутизатору и, если откалибровать, можно будет управлять маршрутизатором извне."
item.router_controller.name,"Router programmer","Программатор маршрутизаторов"
